Data;Volume Útil Armazenado (%);Vazão Jusante (m³/s);Vazão Natural (m³/s)
01/11/2001;16,05794;2,39;16,291
02/11/2001;15,8047;2,38;11,201
03/11/2001;15,61543;2,38;13,398
04/11/2001;15,42889;2,38;13,513
05/11/2001;15,31547;2,38;19,235
06/11/2001;15,18789;2,37;22,44
07/11/2001;15,00955;2,37;18,807
08/11/2001;14,84689;2,37;18,423
09/11/2001;14,71262;2,36;23,496
10/11/2001;14,53891;2,36;19,646
11/11/2001;14,30354;2,36;12,893
12/11/2001;14,3755;1,86;36,404
13/11/2001;14,65086;0,88;56,361
14/11/2001;15,05181;0,97;68,096
15/11/2001;15,24722;1,05;49,432
16/11/2001;15,49032;1,05;50,806
17/11/2001;15,56004;1,05;35,873
18/11/2001;15,66443;1,05;38,103
19/11/2001;15,98531;1,05;57,804
20/11/2001;16,17684;1,06;49,662
21/11/2001;16,11863;1,06;27,475
